X,Y,OBJECTID,THNAME,THTYPE,FEE,STEWARD,DATAOWNER,COMMENTS,GlobalID,BATTrailheadID
-105.178260786722,40.1873191504489,1,Pella West Trailhead,TrailAccess,None,https://www.bouldercounty.org/open-space/parks-and-trails/pella-crossing/,Boulder County Parks and Open Space,,{179B8295-BAEF-4CB9-BF36-D0529DC6C466},BCPOS-POS_TH-1
-105.180503279013,40.0457023883756,2,Wally Toevs Pond Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/walden-ponds-wildlife-habitat/,Boulder County Parks and Open Space,,{903B770D-C0AB-4216-8463-BBAF70DAF69C},BCPOS-POS_TH-2
-105.184018684062,40.0440881563802,3,Cottonwood Marsh Pond Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/walden-ponds-wildlife-habitat/,Boulder County Parks and Open Space,,{F62CEB3D-5FF8-4BCC-AF8D-8B9EF0ED1F04},BCPOS-POS_TH-3
-105.109127605774,39.9469411938136,4,Stearns Lake Trailhead at Carolyn Holmberg Preserve,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/rock-creek-trail/,Boulder County Parks and Open Space,,{2E2F90BA-606A-416B-88C0-DF7540B88F17},BCPOS-POS_TH-4
-105.173367554673,40.0940342020054,5,Monarch Road Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/niwot-trails/,Boulder County Parks and Open Space,,{5D4A4853-967F-44D1-AE31-FE286B4A3EFC},BCPOS-POS_TH-5
-105.168478465654,40.0891853690646,6,Niwot Loop Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/niwot-trails/,Boulder County Parks and Open Space,,{D9A33EC0-CDBA-4274-8AEC-91184EBE78D0},BCPOS-POS_TH-6
-105.159819276746,40.1031599208318,7,Lefthand Valley Grange Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/niwot-trails/,Boulder County Parks and Open Space,,{6403EBD0-CF27-4757-B19E-09F554F974BF},BCPOS-POS_TH-7
-105.223860108672,40.246486443655,8,Ron Stewart Preserve at Rabbit Mountain Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/ron-stewart-preserve-rabbit-mountain/,Boulder County Parks and Open Space,,{A2C3D79D-0A2C-41FC-B608-41FE5CADED5B},BCPOS-POS_TH-8
-105.289376495317,40.2120139776092,9,Bitterbrush Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/hall-ranch/,Boulder County Parks and Open Space,,{E11F1BB5-5812-4B42-BD59-472260743672},BCPOS-POS_TH-9
-105.288280291058,40.2105987460582,10,Hall Ranch Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/hall-ranch/,Boulder County Parks and Open Space,,{B9FC43D9-95F4-43F8-BD4A-0EAC171C3870},BCPOS-POS_TH-10
-105.30009059571,40.1492990630968,11,Heil Valley Ranch Main Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/heil-valley-ranch/,Boulder County Parks and Open Space,,{90206A2C-5359-4314-A8BA-DA6A58413EF2},BCPOS-POS_TH-11
-105.337685681442,39.9512295516552,12,Walker Ranch Loop Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/walker-ranch/,Boulder County Parks and Open Space,,{7BC3A6F1-1553-4410-A0DA-6B66E01D666A},BCPOS-POS_TH-12
-105.322331537367,39.9555659188995,13,Ethel Harrold Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/walker-ranch/,Boulder County Parks and Open Space,,{B8684B1A-9180-456A-B668-85D5B36C1437},BCPOS-POS_TH-13
-105.508024166328,39.9792673180587,14,Mud Lake Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/mud-lake/,Boulder County Parks and Open Space,,{46A3C26B-0F16-468D-97B0-14BB84333445},BCPOS-POS_TH-14
-105.519192938221,39.9823453820506,15,Caribou Ranch Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/caribou-ranch/,Boulder County Parks and Open Space,,{AD40D3DC-6C2C-49B9-BDA7-5CF87D00048A},BCPOS-POS_TH-15
-105.190462593345,40.1356411695161,16,Lagerman Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/lagerman,Boulder County Parks and Open Space,,{47DE467E-3843-4709-A2C6-C007B0E94F5F},BCPOS-POS_TH-16
-105.189401719825,40.0159067866329,17,Legion Park Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/legion-park/,Boulder County Parks and Open Space,,{C9148D51-A773-4DC9-881B-F5403963038A},BCPOS-POS_TH-17
-105.340980737837,40.0157676372563,18,Betasso Trailhead East,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/betasso-preserve/,Boulder County Parks and Open Space,,{3C708A7E-E3B0-4701-8232-280060182267},BCPOS-POS_TH-18
-105.127974624253,40.1599140226058,19,Fairgrounds Lake Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/fairgrounds/,Boulder County Parks and Open Space,,{F4B60337-1451-463C-BB2C-15650CB93DD0},BCPOS-POS_TH-19
-105.17857983687,40.0508953984415,20,Heatherwood Trailhead,Trailhead,None,https://www.bouldercounty.org/departments/parks-and-open-space/,Boulder County Parks and Open Space,,{395644B6-3C55-4860-AF77-410A48FCE95A},BCPOS-POS_TH-20
-105.060986512406,39.993059456575,21,Flagg Park Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/flagg-park/,Boulder County Parks and Open Space,,{E012A881-5DEE-4590-B685-0DC7AE8DF3B0},BCPOS-POS_TH-21
-105.273052146481,40.2113425740871,22,Picture Rock Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/heil-valley-ranch/,Boulder County Parks and Open Space,,{A96AA2C8-59CF-4949-9F51-3DC1756C7100},BCPOS-POS_TH-22
-105.176511573726,40.1837946809525,23,Pella East Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/pella-crossing/,Boulder County Parks and Open Space,,{C411CD4C-9C54-4E08-96CA-CE3D1E13D439},BCPOS-POS_TH-23
-105.338609244775,39.9579453789425,24,Meyers Gulch Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/walker-ranch/,Boulder County Parks and Open Space,,{C479933F-A90F-4734-B026-7BE34FF79975},BCPOS-POS_TH-24
-105.344150290603,40.0157451839946,25,Betasso Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/betasso-preserve/,Boulder County Parks and Open Space,,{D866A8C6-516F-4B40-81A7-8EC0D6FBCBF4},BCPOS-POS_TH-25
-105.341487280757,40.0476726125708,26,Bald Mountain Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/bald-mountain/,Boulder County Parks and Open Space,,{D3770F25-E922-43FA-8D9D-5B300975F31C},BCPOS-POS_TH-26
-105.19157791016,40.1014015897653,27,Dodd Reservoir Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/dodd-reservoir/,Boulder County Parks and Open Space,,{0FC49A19-013C-420A-8EFD-05B6EF5D4DB2},BCPOS-POS_TH-27
-105.343483034586,40.013527043832,28,Bummer's Rock Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/betasso-preserve/,Boulder County Parks and Open Space,,{55BB585C-0E82-4A16-9BA1-AF0A9E1D49E3},BCPOS-POS_TH-28
-105.166680204644,39.9287265132444,29,Coalton Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/coalton-trailhead/,Boulder County Parks and Open Space,,{4B42BA8B-CD76-4B72-A7A1-A5A1AAB1CADF},BCPOS-POS_TH-31
-105.350695278321,40.0383607217266,30,Fourmile Link Access,TrailAccess,None,https://www.bouldercounty.org/open-space/parks-and-trails/betasso-preserve/,Boulder County Parks and Open Space,,{6FC072DD-14D7-473B-B35D-4412CB1A2E2C},BCPOS-POS_TH-32
-105.333300303854,40.0071701804608,31,Betasso Link Access,TrailAccess,None,https://www.bouldercounty.org/open-space/parks-and-trails/betasso-preserve/,Boulder County Parks and Open Space,,{EB6DBF98-E480-42D0-806E-5719ADBCC7EE},BCPOS-POS_TH-33
-105.200761513074,40.0629985800873,32,Twin Lakes Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/twin-lakes/,Boulder County Parks and Open Space,,{CC9CBD4D-49FF-4BE9-9D34-2E86FAD67AD7},BCPOS-POS_TH-35
-105.157842047076,40.2026090424358,33,Agricultural Heritage Center Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/education/museums/agricultural-heritage-center/,Boulder County Parks and Open Space,,{541616BA-50A6-4FBB-B0FD-02AC63498F9F},BCPOS-POS_TH-36
-105.127290775455,39.98295558425,34,Harney-Lastoka Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/harney-lastoka/,Boulder County Parks and Open Space,,{7296C0F1-B4E0-4CC8-9F55-0AA6DD45C744},BCPOS-POS_TH-37
-105.298167005344,40.1353839051689,35,Corral Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/heil-valley-ranch/,Boulder County Parks and Open Space,,{6ADC54B1-70A3-4406-9904-60F89E2ACB4E},BCPOS-POS_TH-38
-105.296186278533,40.2276594427432,36,Antelope Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/hall-ranch/,Boulder County Parks and Open Space,,{EA92992E-94CA-47C5-BB55-460CF8D29F6C},BCPOS-POS_TH-29
-105.319419731018,40.0594046785096,37,Anne U. White Trailhead,Trailhead,None,https://www.bouldercounty.org/open-space/parks-and-trails/anne-u-white-trail/,Boulder County Parks and Open Space,,{D41E4CC1-D51E-480A-856A-4A23C9F378A1},BCPOS-POS_TH-30
-105.294018381445,40.0354973288241,38,Dakota Ridge Trail at Hawthorne,TrailAccess,None,https://bouldercolorado.gov/osmp-access-points,City of Boulder OSMP,,{B66269F0-470D-4BCF-85EF-EEE526B6CA2F},OSMP291
-105.406283434141,40.0046415828487,39,Boulder Falls,TrailAccess,None, ,City of Boulder OSMP,,{CC4E9A46-6828-4CB5-BE2B-FE9CA491C719},OSMP296
-105.292225177051,40.048333302249,40,Wonderland Lake at Poplar,TrailAccess,None,https://bouldercolorado.gov/newsroom/city-of-boulder-reminds-visitors-to-stay-healthy-in-city-parks-and-on-open-space-trails,City of Boulder OSMP,,{EC5DE044-4C8D-4072-B8E9-7A060810D072},OSMP407b
