OBJECTID,FLOODZONE,FLOODWAY,REGULATORY,DRAINAGE,EFFDATE,INEFFDATE,SOURCE,GLOBALID,ShapeSTArea,ShapeSTLength
2,HHZ,0,1,Gregory Canyon Creek,2010/12/17 00:00:00+00,,Belt Collins West,{412FB3FF-CC6B-458E-ADAB-446414E378A4},525765.691916965,15580.1385668305
3,HHZ,0,1,Elmers Twomile Creek,2009/01/28 00:00:00+00,,WH Pacific,{AB164A4A-B72E-4236-B854-B69D8EBFCD30},154395.87669782,8273.94630099938
4,HHZ,0,1,Fourmile Canyon Creek,2007/03/28 00:00:00+00,,Love and Associates,{BF76846D-88C7-40B3-8ACA-C91D3850941D},4416744.87248936,63583.6185858994
5,HHZ,0,1,Twomile Canyon Creek,2016/08/18 00:00:00+00,,ICON Engineering,{EB55DAF6-FA40-4322-9281-8EE699B4C996},100638.885598137,14371.18613768
6,HHZ,0,1,Skunk Creek,2018/05/31 00:00:00+00,,ICON Engineering,{EB07DDAD-AFC1-4F6C-BB2D-3986986E532F},805655.185790994,43683.5862192834
7,HHZ,0,1,Kings Gulch,2018/05/31 00:00:00+00,,ICON Engineering,{7C15A985-D173-446A-B0C7-DD36EE973E23},46997.7659024,8014.20215848359
8,HHZ,0,1,Bluebell Canyon Creek,2018/05/31 00:00:00+00,,ICON Engineering,{B8BDC88A-D982-4FE4-A63F-F8ED7E230DAD},115171.200398373,17053.4487352421
24,HHZ,0,1,Goose Creek,2004/09/16 00:00:00+00,,McLaughlin Water Engineers,{0C71440C-C8C2-40A7-AB9C-17B0A9FE9E0F},764256.774679033,16595.2064824948
25,HHZ,0,1,Goose Creek,2016/08/18 00:00:00+00,,ICON Engineering,{BECAC1EF-76A5-4559-9F4B-A82B52F44FB1},507599.265133249,20208.9301265906
70,HHZ,0,1,Goose Creek,2019/03/26 00:00:00+00,,ICON Engineering,{D8282E8B-0F66-4FB3-A7AD-B2784F99AA27},174718.955521819,3151.59039085589
71,HHZ,0,1,South Goose Creek,2019/03/26 00:00:00+00,,ICON Engineering,{08BCC2E2-0731-495C-9997-33F8AD8ED9B0},725288.913078645,10858.3615859814
72,HHZ,0,1,Boulder Slough,2018/11/02 00:00:00+00,,Anderson Consulting Engineers,{5A563671-08C1-4121-AEA1-A4930BD8B4CE},112623.448430229,9057.27215298969
74,HHZ,0,1,Boulder Creek,2017/12/07 00:00:00+00,,Anderson Consulting Engineers,{CAF58791-0E97-4226-83E0-8ACB4C5B75E9},18309478.0613498,162680.908140975
84,HHZ,0,1,Boulder Slough,2019/03/05 00:00:00+00,,Anderson Consulting Engineers,{D618EED4-93F6-4BC2-9FC8-188D5787E5C7},18957.3986011548,1155.26348438235
85,HHZ,0,1,Wonderland Creek,2020/02/27 00:00:00+00,,Muller Engineering,{E247643F-EEEF-4E2D-AC67-525025FA3680},419124.826622419,12599.830744006
87,HHZ,0,1,Wonderland Creek,2007/03/28 00:00:00+00,,Love and Associates,{B467671D-283E-4D1B-97A3-CB4D5580EAB3},1402427.27504921,26813.1262979659
89,HHZ,0,1,Boulder Creek,2021/01/07 00:00:00+00,,ICON Engineering,{72C805ED-718A-4B1C-8EB2-58AFE895948A},514059.347366109,5651.72734153782
139,HHZ,0,1,South Boulder Creek,2021/04/19 00:00:00+00,,DHI Group,{92E64D1D-5E78-4104-9451-E5C93489031A},247578.848502141,9616.8097704963
232,HHZ,0,1,Sunshine Canyon Creek,1989/05/01 00:00:00+00,,Love and Associates,{BDDBBCBB-60C0-44B0-8C9A-EF30A0F4B2DD},313507.408450146,12807.858292297
287,HHZ,0,1,Boulder Slough,2012/12/18 00:00:00+00,,Anderson Consulting Engineers,{492D4073-B667-4B2B-8529-A208C06DE5D1},62986.5425686248,9626.68747968741
300,HHZ,0,1,South Boulder Creek,2012/12/18 00:00:00+00,,HDR Engineering,{BB0A6AC3-70E2-44EC-BA32-79411604AA18},21693735.9215121,399408.101479671
301,HHZ,0,1,Bear Canyon Creek,2012/12/18 00:00:00+00,,HDR Engineering,{71364D63-DC69-4062-9C69-88CCFB5B1F0B},27059.6714895106,1132.48468418334
309,HHZ,0,1,Bear Canyon Creek,1995/06/02 00:00:00+00,,Love and Associates,{FEE8E94A-57C4-44D0-B30E-9E165CFA9BC3},2136902.33138444,45496.7811075209
