GISPROD3OSMPTrailsOSMPOBJECTID,GISPROD3OSMPTrailsOSMPOWNER,GISPROD3OSMPTrailsOSMPBICYCLES,GISPROD3OSMPTrailsOSMPDISPLAY,GISPROD3OSMPTrailsOSMPTRAILTYPE,GISPROD3OSMPTrailsOSMPDATEFROM,GISPROD3OSMPTrailsOSMPDATETO,GISPROD3OSMPTrailsOSMPSEGMENTID,GISPROD3OSMPTrailsOSMPHORSES,GISPROD3OSMPTrailsOSMPRID,GISPROD3OSMPTrailsOSMPTRLID,GISPROD3OSMPTrailsOSMPMILEAGE,GISPROD3OSMPTrailsOSMPMEASUREDFEET,GISPROD3OSMPTrailsOSMPTRAILNAME,GISPROD3OSMPTrailsOSMPGlobalID,GISPROD3OSMPTrailsOSMPDIFFICULTY,GISPROD3OSMPTrailsOSMPDOGS,GISPROD3OSMPTrailsOSMPDOGREGGEN,GISPROD3OSMPTrailsOSMPDOGREGDESC,GISPROD3OSMPTrailClosuresOBJECTID,GISPROD3OSMPTrailClosuresRID,GISPROD3OSMPTrailClosuresCLOSUREDURATION,GISPROD3OSMPTrailClosuresWEBLINK,GISPROD3OSMPTrailClosuresCLOSUREAREA,GISPROD3OSMPTrailClosuresTRAILSTATUS,GISPROD3OSMPTrailClosuresCLOSUREREASON,GISPROD3OSMPTrailClosuresLOCATIONDESCRIPTION,GISPROD3OSMPTrailClosuresCONTACT,GISPROD3OSMPTrailClosuresCOMMENTS,GISPROD3OSMPTrailClosuresGLOBALID,GISPROD3OSMPTrailClosuresSEGMENTID
2666,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,289-334-332,Yes,1421,289,0.948,-9999,Mount Sanitas,{CFAEE852-8E0E-4C58-B03F-161E89CEE05E},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",1076,1421,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{82CC873D-4FC7-4812-B6A1-0941D20C9A6F},289-334-332
2667,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,289-332-330,Yes,1422,289,0.108,-9999,Mount Sanitas,{E79F0638-7271-46BE-85C5-511B9FA99611},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",1077,1422,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{C1D212D8-B4F4-4873-A409-CCE908CB2F5E},289-332-330
2668,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,289-330-329,Yes,1424,289,0.028,-9999,Mount Sanitas,{D97F02B7-AA16-4FB1-AD7A-B8CC1A79E409},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",1078,1424,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{2AFC9A76-9C71-401B-BC86-13F1D8F470E3},289-330-329
2669,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,289-329-328,Yes,1423,289,0.102,-9999,Mount Sanitas,{B2FFBAF8-5CA4-4DDE-9EF5-B83CCF6C50BB},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",1079,1423,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{336ED61F-CED6-4455-BC44-CB914AB379C7},289-329-328
2670,OSMP,No,Yes,Hiking Trail,2015/01/15 00:00:00+00,2099/12/31 00:00:00+00,287-307-306,Yes,1579,287,0.443,-9999,Anemone,{29D58E74-CAFF-491C-9520-0FFA5B4DCA2E},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",1080,1579,Until Further Notice,,,Closed,Hazardous Conditions,,https://bouldercolorado.gov/osmp/osmp-projects,Trail Closed for construction,{C6302729-E8F8-431D-A5B8-7F2025D5380A},287-307-306
2671,OSMP,Yes,Yes,Multi-Use Trail,2017/07/20 00:00:00+00,2099/12/31 00:00:00+00,518-678-538,Yes,1624,518,0.812,-9999,IBM Connector,{A9DFFC63-5D1B-4392-81C0-949DFD8392E4},Easy,Yes,LR,Leash Required,1604,1624,Until Further Notice,,,Open,Construction,,https://bouldercolorado.gov/services/osmp-closures,,{13A86ADE-5F3C-42DF-9BB4-2068A290C8E4},518-678-538
2672,OSMP,Yes,Yes,Multi-Use Trail,2017/07/20 00:00:00+00,2099/12/31 00:00:00+00,506-550-678,Yes,1625,506,0.551,-9999,Cottontail,{7945E318-34F8-4D35-A4B9-CBC719FEE03E},Easy,Yes,LR,Leash Required,1082,1625,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{AF6F3A35-0B7B-40B5-97B4-7E32A5F17791},506-550-678
2673,OSMP,Yes,Yes,Multi-Use Trail,2017/07/20 00:00:00+00,2099/12/31 00:00:00+00,506-678-551,Yes,1627,506,0.235,-9999,Cottontail,{C6C184B2-983C-49F7-A600-4BDA8E89E07E},Easy,Yes,LR,Leash Required,1083,1627,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{E20E1606-73D2-4AA7-B6CD-1D7A3222D9D0},506-678-551
2674,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,209-226-227,Yes,1179,209,1.703,-9999,Eldorado Canyon,{A196E5D4-F88B-4043-A22B-DF75EC20CCD3},Difficult,Yes,LR,Leash Required,1084,1179,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{138B2430-8F81-444D-84AA-6E0B8328633F},209-226-227
2675,OSMP,No,Yes,Hiking Trail,2016/12/31 00:00:00+00,2099/12/31 00:00:00+00,228-147-247,Yes,1612,228,0.074,-9999,Green Mountain West Ridge,{16900822-9700-4D25-8BA8-280FCCA71F61},Moderate,Yes,LVS,On-Corridor Voice and Sight,1085,1612,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{2BE6F52A-EA3B-434B-B169-CEC9C646747B},228-147-247
