X,Y,OBJECTID,FACILITYID,PROPID,PROPNAME,NAME,MAPLABEL,DESCRIP,PLAYTYPE,ACCESSIBLE,TODDLER,CHILD,TEEN,CLIMBING,SLIDE,SWING,TODSWING,SPINNER,SPRING,NATUREPLAY,SAND,DIGGER,HOUSE,ZIPLINE,EXERCISE,BIKE,TODBIKE,SCOOTER,SLACKLINE,SMALLDOG,BIGDOG,ALLDOG,SHADE,WATER,RESTROOM,BENCH,OWNEDBY,MAINTBY,LIFECYCLE,PHOTOURL1,PHOTOURL2
-105.232679682994,40.0095043283584,1,PSG004001,PK004,Arapahoe Ridge Park,Arapahoe Ridge Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,"https://www.flickr.com/photos/bouldercolorado/tags/PK004,Playground/",
-105.275950284514,40.019410257726,4,PSG008001,PK008,Barker Park,Barker Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,"https://www.flickr.com/photos/bouldercolorado/tags/PK008,Playground/",
-105.251876406266,40.0028626203446,5,PSG006001,PK006,Arrowwood Park,Arrowwood Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,"https://www.flickr.com/photos/bouldercolorado/tags/PK006,Playground/",
-105.279790260459,39.9988414849133,6,PSG021001,PK021,Chautauqua Park,Chautauqua Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,"https://www.flickr.com/photos/bouldercolorado/tags/PK021,Playground/",
-105.277147114664,40.0046943104275,8,PSG009001,PK009,Beach Park,Beach Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,"https://www.flickr.com/photos/bouldercolorado/tags/PK009,Playground/",
-105.256152656236,39.9817795407881,9,PSG058001,PK058,Bill Bower Park,Bill Bower Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.276296903918,40.0515743928955,10,PSG028001,PK028,Crestview Park,Crestview Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,BVSD,Parks and Recreation,Active,,
-105.239038093933,40.0307594750897,11,PSG022001,PK022,Christensen Park,Christensen Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,"https://www.flickr.com/photos/bouldercolorado/tags/PK022,Playground/",
-105.267873196073,40.0329208789183,12,PSG024001,PK024,Columbine Park,Columbine Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,"https://www.flickr.com/photos/bouldercolorado/tags/PK024,Playground/",
-105.257140031784,40.0253936568565,13,PSG032001,PK032,East Mapleton Ballfields,East Mapleton Ballfields,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.250284605449,40.0463253858742,14,PSG063001,PK063,East Palo Park,East Palo Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.287387346704,40.0657080743665,17,PSG029003,PK029,Dakota Ridge Park,Dakota Ridge Scooter Bowl,Skate Park,,Skate Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.287999514869,40.0661698279738,18,PSG029001,PK029,Dakota Ridge Park,Dakota Ridge Park,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.295941789995,40.0130408828347,20,PSG034001,PK034,Eben G. Fine Park,Eben G. Fine Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.2607518282,40.0481229192308,21,PSG035001,PK035,Elks Park,Elks Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.260997854271,40.0357807241238,22,PSG036001,PK036,Elmer's Two Mile Park,Elmer's Two Mile Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.268723066554,40.0179356606459,24,PSG016001,PK016,Emma Gomez Martinez Park,Emma Gomez Martinez Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.287958858575,40.0554546197499,25,PSG039003,PK039,Foothills Community Park,Foothills Community Climbing Wall,Climbing Wall,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.2870846807,40.0543184283413,26,PSG039002,PK039,Foothills Community Park,Foothills Community Playground South,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.289030899452,40.0569820039497,30,PSG039001,PK039,Foothills Community Park,Foothills Community Playground North,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.263953795049,40.0215213443277,31,PSG042001,PK042,Greenleaf Park,Greenleaf Playground,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
-105.246332656134,39.9757069080935,32,PSG045002,PK045,Harlow Platts Community Park,Harlow Platts Playground Swing,Playground,,Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,City,Parks and Recreation,Active,,
